frame,reporte_medico
frame_0063,This is a colonoscopy frame from a patient with no polyps.
frame_0064,This is a colonoscopy frame from a patient with no polyps.
frame_0065,This is a colonoscopy frame from a patient with no polyps.
frame_0066,This is a colonoscopy frame from a patient with no polyps.
frame_0067,This is a colonoscopy frame from a patient with no polyps.
frame_0068,This is a colonoscopy frame from a patient with no polyps.
frame_0069,This is a colonoscopy frame from a patient with no polyps.
frame_0070,This is a colonoscopy frame from a patient with no polyps.
frame_0071,This is a colonoscopy frame from a patient with no polyps.
frame_0072,This is a colonoscopy frame from a patient with no polyps.
frame_0073,This is a colonoscopy frame from a patient with no polyps.
frame_0074,This is a colonoscopy frame from a patient with no polyps.
frame_0075,This is a colonoscopy frame from a patient with no polyps.
frame_0076,This is a colonoscopy frame from a patient with no polyps.
frame_0077,This is a colonoscopy frame from a patient with no polyps.
frame_0078,This is a colonoscopy frame from a patient with no polyps.
frame_0079,This is a colonoscopy frame from a patient with no polyps.
frame_0080,This is a colonoscopy frame from a patient with no polyps.
frame_0081,This is a colonoscopy frame from a patient with no polyps.
frame_0082,This is a colonoscopy frame from a patient with no polyps.
frame_0083,This is a colonoscopy frame from a patient with no polyps.
frame_0084,This is a colonoscopy frame from a patient with no polyps.
frame_0085,This is a colonoscopy frame from a patient with no polyps.
frame_0086,This is a colonoscopy frame from a patient with no polyps.
frame_0087,This is a colonoscopy frame from a patient with no polyps.
frame_0088,This is a colonoscopy frame from a patient with no polyps.
frame_0089,This is a colonoscopy frame from a patient with no polyps.
frame_0090,This is a colonoscopy frame from a patient with no polyps.
frame_0091,This is a colonoscopy frame from a patient with no polyps.
frame_0092,This is a colonoscopy frame from a patient with no polyps.
frame_0093,This is a colonoscopy frame from a patient with no polyps.
frame_0094,This is a colonoscopy frame from a patient with no polyps.
frame_0095,This is a colonoscopy frame from a patient with no polyps.
frame_0096,This is a colonoscopy frame from a patient with no polyps.
frame_0097,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0098,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0099,This is a colonoscopy frame from a patient with no polyps.
frame_0100,This is a colonoscopy frame from a patient with no polyps.
frame_0101,This is a colonoscopy frame from a patient with no polyps.
frame_0102,This is a colonoscopy frame from a patient with no polyps.
frame_0103,This is a colonoscopy frame from a patient with no polyps.
frame_0104,This is a colonoscopy frame from a patient with no polyps.
frame_0105,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0106,This is a colonoscopy frame from a patient with no polyps.
frame_0107,This is a colonoscopy frame from a patient with no polyps.
frame_0108,This is a colonoscopy frame from a patient with no polyps.
frame_0109,This is a colonoscopy frame from a patient with no polyps.
frame_0110,This is a colonoscopy frame from a patient with no polyps.
frame_0111,This is a colonoscopy frame from a patient with no polyps.
frame_0112,This is a colonoscopy frame from a patient with no polyps.
frame_0113,This is a colonoscopy frame from a patient with no polyps.
frame_0114,This is a colonoscopy frame from a patient with no polyps.
frame_0115,This is a colonoscopy frame from a patient with no polyps.
frame_0116,This is a colonoscopy frame from a patient with no polyps.
frame_0117,This is a colonoscopy frame from a patient with no polyps.
frame_0118,This is a colonoscopy frame from a patient with no polyps.
frame_0119,This is a colonoscopy frame from a patient with no polyps.
frame_0120,This is a colonoscopy frame from a patient with no polyps.
frame_0121,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0122,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0123,This is a colonoscopy frame from a patient with no polyps.
frame_0124,This is a colonoscopy frame from a patient with no polyps.
frame_0125,This is a colonoscopy frame from a patient with no polyps.
frame_0126,This is a colonoscopy frame from a patient with no polyps.
frame_0127,This is a colonoscopy frame from a patient with no polyps.
frame_0128,This is a colonoscopy frame from a patient with no polyps.
frame_0129,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0130,This is a colonoscopy frame from a patient with no polyps.
frame_0131,This is a colonoscopy frame from a patient with no polyps.
frame_0132,This is a colonoscopy frame from a patient with no polyps.
frame_0133,This is a colonoscopy frame from a patient with no polyps.
frame_0134,This is a colonoscopy frame from a patient with no polyps.
frame_0135,This is a colonoscopy frame from a patient with no polyps.
frame_0136,This is a colonoscopy frame from a patient with no polyps.
frame_0137,This is a colonoscopy frame from a patient with no polyps.
frame_0138,This is a colonoscopy frame from a patient with no polyps.
frame_0139,This is a colonoscopy frame from a patient with no polyps.
frame_0140,This is a colonoscopy frame from a patient with no polyps.
frame_0141,This is a colonoscopy frame from a patient with no polyps.
frame_0142,This is a colonoscopy frame from a patient with no polyps.
frame_0143,This is a colonoscopy frame from a patient with no polyps.
frame_0144,This is a colonoscopy frame from a patient with no polyps.
frame_0145,This is a colonoscopy frame from a patient with no polyps.
frame_0146,This is a colonoscopy frame from a patient with no polyps.
frame_0147,This is a colonoscopy frame from a patient with no polyps.
frame_0148,This is a colonoscopy frame from a patient with no polyps.
frame_0149,This is a colonoscopy frame from a patient with no polyps.
frame_0150,This is a colonoscopy frame from a patient with no polyps.
frame_0151,This is a colonoscopy frame from a patient with no polyps.
frame_0152,This is a colonoscopy frame from a patient with no polyps.
frame_0153,This is a colonoscopy frame from a patient with no polyps.
frame_0154,This is a colonoscopy frame from a patient with no polyps.
frame_0155,This is a colonoscopy frame from a patient with no polyps.
frame_0156,This is a colonoscopy frame from a patient with no polyps.
frame_0157,This is a colonoscopy frame from a patient with no polyps.
frame_0158,This is a colonoscopy frame from a patient with no polyps.
frame_0159,This is a colonoscopy frame from a patient with no polyps.
frame_0160,This is a colonoscopy frame from a patient with no polyps.
frame_0161,This is a colonoscopy frame from a patient with no polyps.
frame_0162,This is a colonoscopy frame from a patient with no polyps.
frame_0163,This is a colonoscopy frame from a patient with no polyps.
frame_0164,This is a colonoscopy frame from a patient with no polyps.
frame_0165,This is a colonoscopy frame from a patient with no polyps.
frame_0166,This is a colonoscopy frame from a patient with no polyps.
frame_0167,This is a colonoscopy frame from a patient with no polyps.
frame_0168,This is a colonoscopy frame from a patient with no polyps.
frame_0169,This is a colonoscopy frame from a patient with no polyps.
frame_0170,This is a colonoscopy frame from a patient with no polyps.
frame_0171,This is a colonoscopy frame from a patient with no polyps.
frame_0172,This is a colonoscopy frame from a patient with no polyps.
frame_0173,This is a colonoscopy frame from a patient with no polyps.
frame_0174,This is a colonoscopy frame from a patient with no polyps.
frame_0175,This is a colonoscopy frame from a patient with no polyps.
frame_0176,This is a colonoscopy frame from a patient with no polyps.
frame_0177,This is a colonoscopy frame from a patient with no polyps.
frame_0178,This is a colonoscopy frame from a patient with no polyps.
frame_0179,This is a colonoscopy frame from a patient with no polyps.
frame_0180,This is a colonoscopy frame from a patient with no polyps.
frame_0181,This is a colonoscopy frame from a patient with no polyps.
frame_0182,This is a colonoscopy frame from a patient with no polyps.
frame_0183,This is a colonoscopy frame from a patient with no polyps.
frame_0184,This is a colonoscopy frame from a patient with no polyps.
frame_0185,This is a colonoscopy frame from a patient with no polyps.
frame_0186,This is a colonoscopy frame from a patient with no polyps.
frame_0187,This is a colonoscopy frame from a patient with no polyps.
frame_0188,This is a colonoscopy frame from a patient with no polyps.
frame_0189,This is a colonoscopy frame from a patient with no polyps.
frame_0190,This is a colonoscopy frame from a patient with no polyps.
frame_0191,This is a colonoscopy frame from a patient with no polyps.
frame_0192,This is a colonoscopy frame from a patient with no polyps.
frame_0193,This is a colonoscopy frame from a patient with no polyps.
frame_0194,This is a colonoscopy frame from a patient with no polyps.
frame_0195,This is a colonoscopy frame from a patient with no polyps.
frame_0196,This is a colonoscopy frame from a patient with no polyps.
frame_0197,This is a colonoscopy frame from a patient with no polyps.
frame_0198,This is a colonoscopy frame from a patient with no polyps.
frame_0199,This is a colonoscopy frame from a patient with no polyps.
frame_0200,This is a colonoscopy frame from a patient with no polyps.
frame_0201,This is a colonoscopy frame from a patient with no polyps.
frame_0202,This is a colonoscopy frame from a patient with no polyps.
frame_0203,This is a colonoscopy frame from a patient with no polyps.
frame_0204,This is a colonoscopy frame from a patient with no polyps.
frame_0205,This is a colonoscopy frame from a patient with no polyps.
frame_0206,This is a colonoscopy frame from a patient with no polyps.
frame_0207,This is a colonoscopy frame from a patient with no polyps.
frame_0208,This is a colonoscopy frame from a patient with no polyps.
frame_0209,This is a colonoscopy frame from a patient with no polyps.
frame_0210,This is a colonoscopy frame from a patient with no polyps.
frame_0211,This is a colonoscopy frame from a patient with no polyps.
frame_0212,This is a colonoscopy frame from a patient with no polyps.
frame_0213,This is a colonoscopy frame from a patient with no polyps.
frame_0214,This is a colonoscopy frame from a patient with no polyps.
frame_0215,This is a colonoscopy frame from a patient with no polyps.
frame_0216,This is a colonoscopy frame from a patient with no polyps.
frame_0217,This is a colonoscopy frame from a patient with no polyps.
frame_0218,This is a colonoscopy frame from a patient with no polyps.
frame_0219,This is a colonoscopy frame from a patient with no polyps.
frame_0220,This is a colonoscopy frame from a patient with no polyps.
frame_0221,This is a colonoscopy frame from a patient with no polyps.
frame_0222,This is a colonoscopy frame from a patient with no polyps.
frame_0223,This is a colonoscopy frame from a patient with no polyps.
frame_0224,This is a colonoscopy frame from a patient with no polyps.
frame_0225,This is a colonoscopy frame from a patient with no polyps.
frame_0226,This is a colonoscopy frame from a patient with no polyps.
frame_0227,This is a colonoscopy frame from a patient with no polyps.
frame_0228,This is a colonoscopy frame from a patient with no polyps.
frame_0229,This is a colonoscopy frame from a patient with no polyps.
frame_0230,This is a colonoscopy frame from a patient with no polyps.
frame_0231,This is a colonoscopy frame from a patient with no polyps.
frame_0232,This is a colonoscopy frame from a patient with no polyps.
frame_0233,This is a colonoscopy frame from a patient with no polyps.
frame_0234,This is a colonoscopy frame from a patient with no polyps.
frame_0235,This is a colonoscopy frame from a patient with no polyps.
frame_0236,This is a colonoscopy frame from a patient with no polyps.
frame_0237,This is a colonoscopy frame from a patient with no polyps.
frame_0238,This is a colonoscopy frame from a patient with no polyps.
frame_0239,This is a colonoscopy frame from a patient with no polyps.
frame_0240,This is a colonoscopy frame from a patient with no polyps.
frame_0241,This is a colonoscopy frame from a patient with no polyps.
frame_0242,This is a colonoscopy frame from a patient with no polyps.
frame_0243,This is a colonoscopy frame from a patient with no polyps.
frame_0244,This is a colonoscopy frame from a patient with no polyps.
frame_0245,This is a colonoscopy frame from a patient with no polyps.
frame_0246,This is a colonoscopy frame from a patient with no polyps.
frame_0247,This is a colonoscopy frame from a patient with no polyps.
frame_0248,This is a colonoscopy frame from a patient with no polyps.
frame_0249,This is a colonoscopy frame from a patient with no polyps.
frame_0250,This is a colonoscopy frame from a patient with no polyps.
frame_0251,This is a colonoscopy frame from a patient with no polyps.
frame_0252,This is a colonoscopy frame from a patient with no polyps.
frame_0253,This is a colonoscopy frame from a patient with no polyps.
frame_0254,This is a colonoscopy frame from a patient with no polyps.
frame_0255,This is a colonoscopy frame from a patient with no polyps.
frame_0256,This is a colonoscopy frame from a patient with no polyps.
frame_0257,This is a colonoscopy frame from a patient with no polyps.
frame_0258,This is a colonoscopy frame from a patient with no polyps.
frame_0259,This is a colonoscopy frame from a patient with no polyps.
frame_0260,This is a colonoscopy frame from a patient with no polyps.
frame_0261,This is a colonoscopy frame from a patient with no polyps.
frame_0262,This is a colonoscopy frame from a patient with no polyps.
frame_0263,This is a colonoscopy frame from a patient with no polyps.
frame_0264,This is a colonoscopy frame from a patient with no polyps.
frame_0265,This is a colonoscopy frame from a patient with no polyps.
frame_0266,This is a colonoscopy frame from a patient with no polyps.
frame_0267,This is a colonoscopy frame from a patient with no polyps.
frame_0268,This is a colonoscopy frame from a patient with no polyps.
frame_0269,This is a colonoscopy frame from a patient with no polyps.
frame_0270,This is a colonoscopy frame from a patient with no polyps.
frame_0271,This is a colonoscopy frame from a patient with no polyps.
frame_0272,This is a colonoscopy frame from a patient with no polyps.
frame_0273,This is a colonoscopy frame from a patient with no polyps.
frame_0274,This is a colonoscopy frame from a patient with no polyps.
frame_0275,This is a colonoscopy frame from a patient with no polyps.
frame_0276,This is a colonoscopy frame from a patient with no polyps.
frame_0277,This is a colonoscopy frame from a patient with no polyps.
frame_0278,This is a colonoscopy frame from a patient with no polyps.
frame_0279,This is a colonoscopy frame from a patient with no polyps.
frame_0280,This is a colonoscopy frame from a patient with no polyps.
frame_0281,This is a colonoscopy frame from a patient with no polyps.
frame_0282,This is a colonoscopy frame from a patient with no polyps.
frame_0283,This is a colonoscopy frame from a patient with no polyps.
frame_0284,This is a colonoscopy frame from a patient with no polyps.
frame_0285,This is a colonoscopy frame from a patient with no polyps.
frame_0286,This is a colonoscopy frame from a patient with no polyps.
frame_0287,This is a colonoscopy frame from a patient with no polyps.
frame_0288,This is a colonoscopy frame from a patient with no polyps.
frame_0289,This is a colonoscopy frame from a patient with no polyps.
frame_0290,This is a colonoscopy frame from a patient with no polyps.
frame_0291,This is a colonoscopy frame from a patient with no polyps.
frame_0292,This is a colonoscopy frame from a patient with no polyps.
frame_0293,This is a colonoscopy frame from a patient with no polyps.
frame_0294,This is a colonoscopy frame from a patient with no polyps.
frame_0295,This is a colonoscopy frame from a patient with no polyps.
frame_0296,This is a colonoscopy frame from a patient with no polyps.
frame_0297,This is a colonoscopy frame from a patient with no polyps.
frame_0298,This is a colonoscopy frame from a patient with no polyps.
frame_0299,This is a colonoscopy frame from a patient with no polyps.
frame_0300,This is a colonoscopy frame from a patient with no polyps.
frame_0301,This is a colonoscopy frame from a patient with no polyps.
frame_0302,This is a colonoscopy frame from a patient with no polyps.
frame_0303,This is a colonoscopy frame from a patient with no polyps.
frame_0304,This is a colonoscopy frame from a patient with no polyps.
frame_0305,This is a colonoscopy frame from a patient with no polyps.
frame_0306,This is a colonoscopy frame from a patient with no polyps.
frame_0307,This is a colonoscopy frame from a patient with no polyps.
frame_0308,This is a colonoscopy frame from a patient with no polyps.
frame_0309,This is a colonoscopy frame from a patient with no polyps.
frame_0310,This is a colonoscopy frame from a patient with no polyps.
frame_0311,This is a colonoscopy frame from a patient with no polyps.
frame_0312,This is a colonoscopy frame from a patient with no polyps.
frame_0313,This is a colonoscopy frame from a patient with no polyps.
frame_0314,This is a colonoscopy frame from a patient with no polyps.
frame_0315,This is a colonoscopy frame from a patient with no polyps.
frame_0316,This is a colonoscopy frame from a patient with no polyps.
frame_0317,This is a colonoscopy frame from a patient with no polyps.
frame_0318,This is a colonoscopy frame from a patient with no polyps.
frame_0319,This is a colonoscopy frame from a patient with no polyps.
frame_0320,This is a colonoscopy frame from a patient with no polyps.
frame_0321,This is a colonoscopy frame from a patient with no polyps.
frame_0322,This is a colonoscopy frame from a patient with no polyps.
frame_0323,This is a colonoscopy frame from a patient with no polyps.
frame_0324,This is a colonoscopy frame from a patient with no polyps.
frame_0325,This is a colonoscopy frame from a patient with no polyps.
frame_0326,This is a colonoscopy frame from a patient with no polyps.
frame_0327,This is a colonoscopy frame from a patient with no polyps.
frame_0328,This is a colonoscopy frame from a patient with no polyps.
frame_0329,This is a colonoscopy frame from a patient with no polyps.
frame_0330,This is a colonoscopy frame from a patient with no polyps.
frame_0331,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0332,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0333,This is a colonoscopy frame from a patient with no polyps.
frame_0334,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 10 mm located in the ascending colon.
frame_0335,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 10 mm located in the ascending colon.
frame_0336,This is a colonoscopy frame from a patient with no polyps.
frame_0337,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 10 mm located in the ascending colon.
frame_0338,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 10 mm located in the ascending colon.
frame_0339,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0340,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0341,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0342,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 10 mm located in the ascending colon.
frame_0343,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0344,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0345,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 10 mm located in the ascending colon.
frame_0346,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0347,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0348,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0349,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0350,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0351,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0352,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0353,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0354,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0355,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0356,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0357,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0358,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0359,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0360,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0361,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0362,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0363,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0364,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0365,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0366,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0367,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0368,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0369,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0370,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0371,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0372,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0373,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0374,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0375,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0376,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0377,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0378,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0379,This is a colonoscopy frame from a patient with no polyps.
frame_0380,This is a colonoscopy frame from a patient with no polyps.
frame_0381,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0382,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0383,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0384,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0385,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0386,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0387,This is a colonoscopy frame from a patient with no polyps.
frame_0388,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0389,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0390,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0391,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0392,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0393,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0394,This is a colonoscopy frame from a patient with no polyps.
frame_0395,This is a colonoscopy frame from a patient with no polyps.
frame_0396,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the ascending colon.
frame_0397,This is a colonoscopy frame from a patient with no polyps.
frame_0398,This is a colonoscopy frame from a patient with no polyps.
frame_0399,This is a colonoscopy frame from a patient with a sessile hyperplastic polyp measuring 5 mm located in the ascending colon.
frame_0400,This is a colonoscopy frame from a patient with no polyps.
frame_0401,This is a colonoscopy frame from a patient with no polyps.
frame_0402,This is a colonoscopy frame from a patient with no polyps.
frame_0403,This is a colonoscopy frame from a patient with no polyps.
frame_0404,This is a colonoscopy frame from a patient with no polyps.
frame_0405,This is a colonoscopy frame from a patient with no polyps.
frame_0406,This is a colonoscopy frame from a patient with no polyps.
frame_0407,This is a colonoscopy frame from a patient with no polyps.
frame_0408,This is a colonoscopy frame from a patient with no polyps.
frame_0409,This is a colonoscopy frame from a patient with no polyps.
frame_0410,This is a colonoscopy frame from a patient with no polyps.
frame_0411,This is a colonoscopy frame from a patient with no polyps.
frame_0412,This is a colonoscopy frame from a patient with no polyps.
frame_0413,This is a colonoscopy frame from a patient with no polyps.
frame_0414,This is a colonoscopy frame from a patient with no polyps.
frame_0415,This is a colonoscopy frame from a patient with no polyps.
frame_0416,This is a colonoscopy frame from a patient with no polyps.
frame_0417,This is a colonoscopy frame from a patient with no polyps.
frame_0418,This is a colonoscopy frame from a patient with no polyps.
frame_0419,This is a colonoscopy frame from a patient with no polyps.
frame_0420,This is a colonoscopy frame from a patient with no polyps.
frame_0421,This is a colonoscopy frame from a patient with no polyps.
frame_0422,This is a colonoscopy frame from a patient with no polyps.
frame_0423,This is a colonoscopy frame from a patient with no polyps.
frame_0424,This is a colonoscopy frame from a patient with no polyps.
frame_0425,This is a colonoscopy frame from a patient with no polyps.
frame_0426,This is a colonoscopy frame from a patient with no polyps.
frame_0427,This is a colonoscopy frame from a patient with no polyps.
frame_0428,This is a colonoscopy frame from a patient with no polyps.
frame_0429,This is a colonoscopy frame from a patient with no polyps.
frame_0430,This is a colonoscopy frame from a patient with no polyps.
frame_0431,This is a colonoscopy frame from a patient with no polyps.
frame_0432,This is a colonoscopy frame from a patient with no polyps.
frame_0433,This is a colonoscopy frame from a patient with no polyps.
frame_0434,This is a colonoscopy frame from a patient with no polyps.
frame_0435,This is a colonoscopy frame from a patient with no polyps.
frame_0436,This is a colonoscopy frame from a patient with no polyps.
frame_0437,This is a colonoscopy frame from a patient with no polyps.
frame_0438,This is a colonoscopy frame from a patient with no polyps.
frame_0439,This is a colonoscopy frame from a patient with no polyps.
frame_0440,This is a colonoscopy frame from a patient with no polyps.
frame_0441,This is a colonoscopy frame from a patient with no polyps.
